name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2021-11-08,17.8,8.1,12.9,17.8,7.3,12.6,2.5,50,0,0,0,,0,0,,21.7,148.8,1019.7,9.6,16,137.4,11.9,6,,2021-11-08T06:34:55,2021-11-08T16:44:11,0.09,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-09,20.8,10,15.2,20.8,10,15.2,5.9,55.6,0,0,0,,0,0,,12.8,262.9,1018.4,5.6,16,128.2,11.1,5,,2021-11-09T06:36:06,2021-11-09T16:43:10,0.14,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-10,17.9,10.8,15,17.9,10.8,15,3.7,48.8,0,0,0,,0,0,42.5,21.6,238.5,1018.5,25.3,15.8,133.2,11.6,6,,2021-11-10T06:37:18,2021-11-10T16:42:12,0.19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-11,16.4,7.6,12.1,16.4,6.6,11.9,4.6,60.6,0,0,0,,0,0,44.6,18.5,82.5,1024.9,57.5,16,97.4,8.4,4,,2021-11-11T06:38:29,2021-11-11T16:41:15,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-12,18.7,11.5,16.4,18.7,11.5,16.4,11,72,11.4,100,33.33,rain,0,0,59.8,27.3,203.6,1014.2,61.1,13.7,36.1,3.1,3,,2021-11-12T06:39:40,2021-11-12T16:40:19,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-13,17.1,5.3,10.3,17.1,2.3,9.2,3.3,62.6,7.74,100,8.33,rain,0,0,63.3,41.6,179.7,1009,25.3,15.9,80.1,6.8,5,,2021-11-13T06:40:51,2021-11-13T16:39:26,0.35,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-14,8.5,3.8,6.5,8,1,4.4,-0.5,61.3,0.32,100,4.17,rain,0,0,42.5,23.8,240.1,1012,42.7,15.9,73.3,6.3,4,,2021-11-14T06:42:02,2021-11-14T16:38:35,0.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-15,9,4.6,6.6,6.2,1.8,4.1,0.5,66,0.11,100,8.33,rain,0,0,47.7,25.3,268.3,1010,61.3,16,67.1,5.7,3,,2021-11-15T06:43:13,2021-11-15T16:37:45,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-16,9.6,3.3,6.3,7.5,-0.9,3.9,-3.2,51.6,0,0,0,,0,0,42.5,18.4,274,1020,19.6,16,126.9,10.9,6,,2021-11-16T06:44:23,2021-11-16T16:36:57,0.46,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-17,13.7,3.9,9.6,13.7,3.9,9.5,2.4,61.3,0,0,0,,0,0,38.9,22,167.8,1024.3,41,16,88.3,7.5,4,,2021-11-17T06:45:33,2021-11-17T16:36:12,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-18,20.7,9.1,15.5,20.7,6.5,15.4,8.8,66.1,1.17,100,8.33,rain,0,0,43.6,18.4,205,1015.8,34.3,15.4,116.5,10,5,,2021-11-18T06:46:43,2021-11-18T16:35:28,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York City,USA",2021-11-19,9.1,5,7.2,7,1.3,4.1,-2.8,50.3,0.88,100,8.33,rain,0,0,47.1,28.1,294,1023.7,41.9,15.8,120.8,10.4,5,,2021-11-19T06:47:53,2021-11-19T16:34:46,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-20,8.5,2.3,5.8,8.1,0.6,4.4,-2.9,54.1,0,0,0,,0,0,,15.1,219.9,1032.9,26.1,16,106.5,9.1,5,,2021-11-20T06:49:02,2021-11-20T16:34:06,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-21,13.3,7.2,10.1,13.3,5.3,9.6,2.9,62.3,0.23,100,8.33,rain,0,0,31.7,12.4,234.5,1023.8,76.6,16,89.5,7.7,5,,2021-11-21T06:50:11,2021-11-21T16:33:29,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-22,13,2.8,8.8,13,-0.5,7.1,2.1,64.4,0.97,100,12.5,rain,0,0,44.9,21,284,1011.7,60.6,15.6,39.3,3.5,2,,2021-11-22T06:51:19,2021-11-22T16:32:53,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-11-23,5.7,1,2.8,2.2,-3.7,-1.5,-8.1,45.1,0,0,0,,0,0,51.8,32,311.5,1016.4,19.1,16,123.2,10.5,5,,2021-11-23T06:52:27,2021-11-23T16:32:20,0.57,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-24,7.3,-0.6,3.6,5.8,-4.8,0.7,-7.3,46.2,0,0,0,,0,0,47.9,17.1,304.7,1025.4,11.8,16,120,10.4,5,,2021-11-24T06:53:34,2021-11-24T16:31:48,0.61,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-25,13.6,4.4,8.8,13.6,2.8,8.4,-4.8,38.7,0,0,0,,0,0,,12.6,258.9,1016.6,47,16,90.3,7.6,4,,2021-11-25T06:54:41,2021-11-25T16:31:19,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-26,9.3,3.2,6.6,9.3,-1.9,3.7,-0.1,64,2.95,100,45.83,rain,0,0,51.3,32.6,273.5,1004.3,97.2,14.7,35.7,3.1,2,,2021-11-26T06:55:47,2021-11-26T16:30:52,0.7,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-11-27,4,1.7,2.8,-0.4,-2.4,-1.3,-7.1,48.2,0,0,0,,0,0,51.2,25.4,294.4,1010.6,71.2,16,51.3,4.3,4,,2021-11-27T06:56:52,2021-11-27T16:30:27,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-28,5.1,0.8,3,5.1,-1.6,2,-2.5,67.5,0,0,0,,0,0,,12.8,151.1,1011.6,91.9,14.8,22.8,1.9,1,,2021-11-28T06:57:56,2021-11-28T16:30:05,0.81,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KEWR,KLGA,72502014734,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-11-29,6.3,1.1,3.9,3.1,-2.4,0.8,-3.8,57.2,0.07,100,8.33,rain,0,0,48.2,21.8,305.4,1012.2,65.5,16,77.3,6.8,4,,2021-11-29T06:59:00,2021-11-29T16:29:44,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-11-30,5.3,-0.2,2.9,3.5,-3.5,0.4,-4.4,59,0,0,0,,0,0,53.6,19.8,246.8,1015.4,67.2,16,40.3,3.5,2,,2021-11-30T07:00:03,2021-11-30T16:29:26,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,F8726,KNYC,F1417,72503014732"
