name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York City,USA",2021-10-19,19.4,8.9,13.8,19.4,6.7,13.2,3.9,53,0,0,0,,0,0,44.6,25.3,266.8,1015,11.7,16,175.9,15.2,7,,2021-10-19T07:11:50,2021-10-19T18:09:24,0.49,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-10-20,24.3,14.4,19.2,24.3,14.4,19.2,7.8,48.6,0,0,0,,0,0,33.5,23.8,278.4,1015.5,16.8,16,164.6,14.4,7,,2021-10-20T07:12:57,2021-10-20T18:07:57,0.5,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-10-21,23.9,15.5,19.5,23.9,15.5,19.5,10.2,55.9,0,0,0,,0,0,36,16.6,218.8,1014.5,21.8,16,166.7,14.6,6,,2021-10-21T07:14:04,2021-10-21T18:06:31,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-10-22,20.6,15,18.3,20.6,15,18.3,10.4,60.6,0,0,0,,0,0,51.8,17.3,279.5,1011.1,50.9,16,145.5,12.7,7,,2021-10-22T07:15:11,2021-10-22T18:05:06,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-10-23,15.2,10,13,15.2,8.7,12.9,5.9,62,0.24,100,12.5,rain,0,0,,13.2,233.9,1014.6,86.5,15.9,68.3,6,3,,2021-10-23T07:16:19,2021-10-23T18:03:42,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-10-24,15.4,9.3,12.4,15.4,8.1,12.1,5.6,64.1,0,0,0,,0,0,,11.4,242.1,1020.3,51,16,90.5,8,3,,2021-10-24T07:17:26,2021-10-24T18:02:19,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,E5816,F8726,KNYC,F1417,72503014732"
"New York City,USA",2021-10-25,23,13.5,18.6,23,13.5,18.6,15.5,82.9,3.09,100,37.5,rain,0,0,,11,154.1,1013.2,72.6,13.7,98.3,8.3,4,,2021-10-25T07:18:35,2021-10-25T18:00:57,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-10-26,17.6,13.7,15.4,17.6,13.7,15.4,13.6,89.1,80.53,100,66.67,rain,0,0,56.9,36.6,112.9,997.6,99,9.7,46.2,4,3,,2021-10-26T07:19:43,2021-10-26T17:59:36,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-10-27,16.1,12.8,14.3,16.1,12.8,14.3,8.7,70,8,100,29.17,rain,0,0,51.8,34.5,167.9,1004,97.7,15.4,94.7,8.3,5,,2021-10-27T07:20:52,2021-10-27T17:58:17,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KEWR,F7223,KLGA,72502014734,E5816,KNYC,F1417,72503014732"
"New York City,USA",2021-10-28,14.4,9.6,12.2,14.4,8.4,12.2,5.7,64.5,0,0,0,,0,0,,16.6,121.1,1013.7,56.8,16,133.6,11.5,6,,2021-10-28T07:22:01,2021-10-28T17:56:58,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
